"key","name","level","hasData","fields"
"1003210","Afsou","0","TRUE","02.381.07.01."
"1003220","Al Barkanyene","0","TRUE","02.381.07.03."
"1003230","Arekmane","0","TRUE","02.381.07.05."
"1003240","Dont Centre: Kariat Arekmane","0","TRUE","02.381.07.05.3."
"1003250","Bni Oukil Oulad M'Hand","0","TRUE","02.381.07.07."
"1003260","Hassi Berkane","0","TRUE","02.381.07.09."
"1003270","Oulad Daoud Zkhanine","0","TRUE","02.381.07.11."
"1003280","Oulad Settout","0","TRUE","02.381.07.13."
"1003290","Tiztoutine","0","TRUE","02.381.07.17."
"1003300","Dont Centre: Tiztoutine","0","TRUE","02.381.07.17.3."
"1003310","Préfecture: Oujda-Angad","0","TRUE","02.411."
"1003320","Bni Drar (Mun.)","0","TRUE","02.411.01.11."
"1003330","Naima (Mun.)","0","TRUE","02.411.01.19."
"1003340","Oujda (Mun.)","0","TRUE","02.411.01.23."
"1003350","Cercle : Oujda  Banlieue Nord","0","TRUE","02.411.03."
"1003360","Ahl Angad","0","TRUE","02.411.03.01."
"1003370","Ain Sfa","0","TRUE","02.411.03.03."
"1003380","Bni Khaled","0","TRUE","02.411.03.05."
"1003390","Bsara","0","TRUE","02.411.03.07."
"1003400","Cercle : Oujda  Banlieue Sud","0","TRUE","02.411.05."
"1003410","Isly","0","TRUE","02.411.05.09."
"1003420","Mestferki","0","TRUE","02.411.05.11."
"1003430","Sidi Boulenouar","0","TRUE","02.411.05.17."
"1003440","Sidi Moussa Lemhaya","0","TRUE","02.411.05.19."
"1003450","Province: Taourirt","0","TRUE","02.533."
"1003460","Debdou (Mun.)","0","TRUE","02.533.01.13."
"1003470","El Aioun Sidi Mellouk (Mun.)","0","TRUE","02.533.01.15."
"1003480","Taourirt (Mun.)","0","TRUE","02.533.01.33."
"1003490","Cercle : Debdou","0","TRUE","02.533.03."
"1003500","El Atef","0","TRUE","02.533.03.05."
"1003510","Oulad M'hammed","0","TRUE","02.533.03.15."
"1003520","Sidi Ali Bel Quassem","0","TRUE","02.533.03.17."
"1003530","Sidi Lahsen","0","TRUE","02.533.03.19."
"1003540","Cercle : El Aioun","0","TRUE","02.533.07."
"1003550","Ain Lehjer","0","TRUE","02.533.07.03."
"1003560","Mechraa Hammadi","0","TRUE","02.533.07.09."
"1003570","Mestegmer","0","TRUE","02.533.07.13."
"1003580","Tancherfi","0","TRUE","02.533.07.21."
"1003590","Cercle : Taourirt","0","TRUE","02.533.09."
"1003600","Ahl Oued Za","0","TRUE","02.533.09.01."
"1003610","Gteter","0","TRUE","02.533.09.07."
"1003620","Melg El Ouidane","0","TRUE","02.533.09.11."
"1003630","Fès-Meknès","0","TRUE","3"
"1003640","Préfecture: Meknès","0","TRUE","03.061."
"1003650","Meknès (Mun.)","0","TRUE","03.061.01.01."
"1003660","Al Machouar - Stinia (Mun.)","0","TRUE","03.061.01.03."
"1003670","Boufakrane (Mun.)","0","TRUE","03.061.01.05."
"1003680","Toulal (Mun.)","0","TRUE","03.061.01.07."
"1003690","Moulay Driss Zerhoun (Mun.)","0","TRUE","03.061.01.09."
"1003700","Ouislane (Mun.)","0","TRUE","03.061.01.11."
"1003710","Cercle : Ain Orma","0","TRUE","03.061.03."
"1003720","Ain Jemaa","0","TRUE","03.061.03.01."
"1003730","Dont Centre: Ain Jemaa","0","TRUE","03.061.03.01.3."
"1003740","Ain Karma- Oued Rommane","0","TRUE","03.061.03.02."
"1003750","Dont Centre: Ain Karma","0","TRUE","03.061.03.02.3."
"1003760","Ain Orma","0","TRUE","03.061.03.05."
"1003770","Ait Ouallal","0","TRUE","03.061.03.07."
"1003780","Dar Oum Soltane","0","TRUE","03.061.03.09."
"1003790","Cercle : Meknès Banlieue","0","TRUE","03.061.05."
"1003800","Dkhissa","0","TRUE","03.061.05.01."
"1003810","Dont Centre: Zoualet","0","TRUE","03.061.05.01.3."
"1003820","Majjate","0","TRUE","03.061.05.03."
"1003830","M'haya","0","TRUE","03.061.05.05."
"1003840","Dont Centre: M'haya","0","TRUE","03.061.05.05.3."
"1003850","Oued Jdida","0","TRUE","03.061.05.07."
"1003860","Sidi Slimane Moul Al Kifane","0","TRUE","03.061.05.09."
"1003870","Dont Centre: Haj Kaddour","0","TRUE","03.061.05.09.3."
"1003880","Cercle : Zerhoun","0","TRUE","03.061.07."
"1003890","Charqaoua","0","TRUE","03.061.07.01."
"1003900","MRhassiyine","0","TRUE","03.061.07.05."
"1003910","N'zalat Bni Amar","0","TRUE","03.061.07.07."
"1003920","Dont Centre: N'zalat","0","TRUE","03.061.07.07.3."
"1003930","Oualili","0","TRUE","03.061.07.09."
"1003940","Sidi Abdallah Al Khayat","0","TRUE","03.061.07.11."
"1003950","Province: Boulemane","0","TRUE","03.131."
"1003960","Boulemane (Mun.)","0","TRUE","03.131.01.01."
"1003970","Imouzzer Marmoucha (Mun.)","0","TRUE","03.131.01.02."
"1003980","Missour (Mun.)","0","TRUE","03.131.01.03."
"1003990","Outat El Haj (Mun.)","0","TRUE","03.131.01.05."
"1004000","Cercle : Boulemane","0","TRUE","03.131.03."
"1004010","Ait Bazza","0","TRUE","03.131.03.01."
"1004020","Ait El Mane","0","TRUE","03.131.03.03."
"1004030","Almis Marmoucha","0","TRUE","03.131.03.05."
"1004040","El Mers","0","TRUE","03.131.03.07."
"1004050","Enjil","0","TRUE","03.131.03.09."
"1004060","Guigou","0","TRUE","03.131.03.11."
"1004070","Dont Centre: Guigou","0","TRUE","03.131.03.11.3."
"1004080","Serghina","0","TRUE","03.131.03.13."
"1004090","Skoura M'Daz","0","TRUE","03.131.03.15."
"1004100","Dont Centre: Skoura","0","TRUE","03.131.03.15.3."
"1004110","Talzemt","0","TRUE","03.131.03.17."
"1004120","Cercle : Missour","0","TRUE","03.131.05."
"1004130","Ksabi Moulouya","0","TRUE","03.131.05.01."
"1004140","Ouizeght","0","TRUE","03.131.05.03."
"1004150","Sidi Boutayeb","0","TRUE","03.131.05.05."
"1004160","Cercle : Outat El Haj","0","TRUE","03.131.07."
"1004170","El Orjane","0","TRUE","03.131.07.01."
